extract_date,client_id,first_name,last_name,birth_date,email,phone,address_city,segment,client_since_date
2026-01-31,C00042,Tomáš,Černý,1956-04-08,tomas.cerny@centrum.cz,008427109,Zlín,RETAIL,2016-02-26
2026-01-31,C00043,Jan,Černý,1997-11-10,jan.cerny@centrum.cz,+420 719 022 941,Brno,RETAIL,2018-12-27
2026-01-31,C00044,Barbora,Němcová,1975-04-01,barbora.nemcova@email.cz,+420749649909,Zlín,retail,2020-02-08
2026-01-31,C00045,Lenka,Pokorná,1962-04-14,lenka.pokorna@gmail.com,+420812067974,Ostrava,retail,2013-11-24
2026-01-31,C00046,Lucie,Svobodová,1975-12-10,lucie.svobodova@gmail.com,+420361832421,Liberec,Premium,2023-03-25
2026-01-31,C00047,Alena,Němcová,1980-11-22,alena.nemcova@gmail.com,+420464887719,Pardubice,RETAIL,2020-07-06
2026-01-31,C00048,Jana,Svobodová,1975-07-16,jana.svobodova@centrum.cz,+420 049 027 874,Kladno,Premium,2023-03-03
2026-01-31,C00049,Lucie,Svobodová,1997-03-02,lucie.svobodova@gmail.com,+420512567468,Olomouc,retail,2017-06-23
2026-01-31,C00050,Petr,Sedláček,1991-04-06,petr.sedlacek@email.cz,+420760385977,Zlín,RETAIL,2022-03-03
2026-01-31,C00051,Lucie,Marková,1998-06-27,lucie.markova@seznam.cz,+420324808613,Brno,retail,2023-08-28
2026-01-31,C00052,Eva,Veselá,1981-03-08,eva.vesela@gmail.com,+420 677 378 263,Zlín,premium,2016-02-18
2026-01-31,C00053,Alena,Kučerová,1985-06-29,alena.kucerova@centrum.cz,449972787,Zlín,Retail,2010-01-22
2026-01-31,C00054,Pavel,Beneš,1971-12-04,pavel.benes@gmail.com,+420360576627,Plzeň,Premium,2018-08-04
2026-01-31,C00055,Alena,Benešová,1994-07-02,alena.benesova@gmail.com,026-217-459,Brno,Retail,2020-04-01
2026-01-31,C00056,Alena,Horáková,1989-02-03,alena.horakova@seznam.cz,+420809134316,Olomouc,premium,2020-12-11
2026-01-31,C00057,Lukáš,Černý,1957-08-06,lukas.cerny@seznam.cz,+420 455 623 869,Praha,RETAIL,2011-04-05
2026-01-31,C00058,Kateřina,Němcová,1976-08-09,,+420 374 740 748,Pardubice,Premium,2013-03-18
2026-01-31,C00059,Tereza,Černá,1993-01-24,tereza.cerna@gmail.com,367136959,Liberec,RETAIL,2016-10-10
2026-01-31,C00060,David,Pokorný,1990-07-05,david.pokorny@email.cz,097439533,Liberec,Retail,2022-09-11
2026-01-31,C00061,Iveta,Pokorná,1958-07-15,iveta.pokorna@gmail.com,+420 952 145 623,Liberec,RETAIL,2010-10-01
2026-01-31,C00062,Iveta,Černá,1969-10-05,iveta.cerna@seznam.cz,+420517123685,Liberec,Retail,2016-08-14
2026-01-31,C00063,Petr,Veselý,1988-01-25,petr.vesely@email.cz,965137098,Kladno,private,2015-11-18
2026-01-31,C00064,Anna,Benešová,1996-08-26,anna.benesova@gmail.com,+420 120 047 113,Liberec,premium,2019-02-27
2026-01-31,C00065,Michaela,Marková,2003-06-19,michaela.markova@email.cz,617-964-053,Hradec Králové,Premium,2013-06-19
2026-01-31,C00066,Marie,Pokorná,1987-12-15,,+420064317139,Zlín,premium,2018-01-17
2026-01-31,C00067,Tomáš,Sedláček,1973-05-30,tomas.sedlacek@gmail.com,+420 393 352 904,Brno,Private,2022-06-07
2026-01-31,C00068,Marie,Pokorná,1957-04-24,marie.pokorna@centrum.cz,+420395024026,Ostrava,retail,2018-01-13
2026-01-31,C00069,Pavel,Horák,1964-10-13,pavel.horak@centrum.cz,908-470-076,Pardubice,RETAIL,2014-12-20
2026-01-31,C00070,Lucie,Svobodová,1962-04-01,lucie.svobodova@centrum.cz,124998569,Olomouc,premium,2013-04-30
2026-01-31,C00071,Lukáš,Svoboda,2004-06-18,lukas.svoboda@gmail.com,365766156,Plzeň,RETAIL,2020-02-17
2026-01-31,C00072,Anna,Veselá,1961-01-08,anna.vesela@centrum.cz,615280988,Brno,RETAIL,2012-02-03
2026-01-31,C00073,Ondřej,Sedláček,1992-12-10,ondrej.sedlacek@gmail.com,+420451983273,Praha,retail,2023-06-20
2026-01-31,C00074,Martin,Němec,1975-04-16,martin.nemec@email.cz,980940244,Hradec Králové,premium,2023-12-12
2026-01-31,C00075,Tereza,Pokorná,1990-12-15,tereza.pokorna@seznam.cz,183667525,Brno,RETAIL,2010-09-09
2026-01-31,C00076,Eva,Novotná,1959-06-19,eva.novotna@seznam.cz,+420767976438,Kladno,retail,2016-02-08
2026-01-31,C00077,Ondřej,Němec,1998-08-28,ondrej.nemec@gmail.com,+420 036 900 343,Zlín,Premium,2016-12-01
2026-01-31,C00078,Jan,Veselý,1993-08-20,jan.vesely@seznam.cz,+420838851606,Ostrava,retail,2018-07-12
2026-01-31,C00079,Tereza,Kučerová,1991-04-14,tereza.kucerova@email.cz,160-529-751,Kladno,retail,2016-06-29
2026-01-31,C00080,Miroslav,Horák,1962-01-21,miroslav.horak@email.cz,352181883,Hradec Králové,retail,2017-08-13
2026-01-31,C00081,Tomáš,Černý,1972-09-12,tomas.cerny@gmail.com,127799799,Ostrava,Premium,2013-06-06
2026-01-31,C00082,Petr,Veselý,1994-09-03,petr.vesely@gmail.com,+420905814770,Kladno,RETAIL,2016-02-29
2026-01-31,C00083,David,Beneš,1963-02-06,david.benes@seznam.cz,679-807-935,České Budějovice,premium,2021-05-16
2026-01-31,C00084,Jakub,Beneš,1985-10-23,jakub.benes@centrum.cz,037788925,Brno,RETAIL,2013-11-14
2026-01-31,C00085,Pavel,Pokorný,1959-09-12,pavel.pokorny@email.cz,151864492,Kladno,Premium,2017-07-04
2026-01-31,C00086,Lenka,Pokorná,1990-03-01,,486528168,Ostrava,Premium,2011-11-26
2026-01-31,C00087,Jiří,Procházka,1998-08-17,jiri.prochazka@email.cz,+420 214 188 805,Plzeň,retail,2013-01-31
2026-01-31,C00088,David,Marek,1969-11-07,david.marek@centrum.cz,537947383,Pardubice,Retail,2019-03-20
2026-01-31,C00089,Hana,Procházková,1994-07-12,hana.prochazkova@gmail.com,+420688623924,Pardubice,Private,2016-04-27
2026-01-31,C00090,Marie,Marková,2001-04-14,marie.markova@centrum.cz,247826137,Brno,retail,2011-11-19
2026-01-31,C00091,Zdeněk,Procházka,1976-02-25,zdenek.prochazka@email.cz,305-152-204,Hradec Králové,Retail,2018-05-30
2026-01-31,C00092,Lucie,Veselá,1955-06-22,lucie.vesela@email.cz,328986143,Brno,Retail,2015-09-28
2026-01-31,C00093,Jakub,Němec,1996-01-04,jakub.nemec@email.cz,+420980893246,Brno,retail,2021-03-18
2026-01-31,C00094,Eva,Pokorná,1962-09-06,eva.pokorna@gmail.com,888-880-670,Zlín,RETAIL,2011-07-09
2026-01-31,C00095,Petra,Sedláčková,1961-01-22,petra.sedlackova@email.cz,952-058-527,Olomouc,Retail,2012-04-29
2026-01-31,C00096,Jakub,Veselý,1958-04-26,jakub.vesely@email.cz,+420305486874,Liberec,RETAIL,2010-12-25
2026-01-31,C00097,David,Sedláček,1959-04-16,david.sedlacek@gmail.com,156-676-527,Kladno,retail,2016-02-17
2026-01-31,C00098,Michaela,Kučerová,1962-01-30,michaela.kucerova@centrum.cz,845-115-447,Hradec Králové,premium,2014-01-18
2026-01-31,C00099,Jan,Marek,1986-08-18,,016-582-029,České Budějovice,RETAIL,2016-02-28
2026-01-31,C00100,Jakub,Pokorný,1987-11-12,jakub.pokorny@centrum.cz,+420 092 755 719,Olomouc,Retail,2022-09-21
2026-01-31,C00101,Martin,Dvořák,1965-03-06,martin.dvorak@centrum.cz,786814473,Praha,premium,2014-03-05
2026-01-31,C00102,Tomáš,Beneš,1961-08-23,tomas.benes@email.cz,+420 155 188 442,Pardubice,retail,2019-12-26
2026-01-31,C00103,Jiří,Sedláček,1967-06-17,jiri.sedlacek@centrum.cz,+420589578291,Plzeň,Retail,2010-08-04
2026-01-31,C00104,Barbora,Kučerová,1961-08-13,barbora.kucerova@seznam.cz,778-528-922,Ostrava,retail,2011-08-31
2026-01-31,C00105,Veronika,Novotná,1982-04-14,veronika.novotna@seznam.cz,+420 358 414 384,Ostrava,RETAIL,2017-03-28
2026-01-31,C00106,Eva,Němcová,1968-10-31,eva.nemcova@seznam.cz,590-010-943,Ostrava,Premium,2023-07-29
2026-01-31,C00107,Ondřej,Horák,1980-12-26,ondrej.horak@gmail.com,364-710-276,Kladno,RETAIL,2020-10-31
2026-01-31,C00108,Petra,Benešová,1983-08-25,petra.benesova@seznam.cz,588-153-714,Olomouc,Retail,2012-12-07
2026-01-31,C00109,Miroslav,Beneš,1992-07-06,,953-278-774,Plzeň,retail,2017-05-06
2026-01-31,C00110,Veronika,Veselá,1976-08-06,veronika.vesela@gmail.com,+420004797480,Plzeň,premium,2017-11-30
2026-01-31,C00111,Barbora,Kučerová,1987-10-31,barbora.kucerova@gmail.com,983-584-168,Praha,Retail,2011-02-24
2026-01-31,C00112,Tereza,Pokorná,1965-08-29,,+420558523986,Ostrava,Retail,2018-11-01
2026-01-31,C00113,Pavel,Sedláček,1997-07-02,pavel.sedlacek@centrum.cz,982595269,Zlín,retail,2013-05-05
2026-01-31,C00114,Lenka,Veselá,1956-06-29,lenka.vesela@centrum.cz,+420 694 097 499,Olomouc,retail,2012-06-16
2026-01-31,C00115,Ondřej,Marek,1989-02-09,ondrej.marek@centrum.cz,091-307-562,Ostrava,Premium,2015-06-08
2026-01-31,C00116,Tereza,Veselá,1960-08-02,tereza.vesela@gmail.com,857865278,Ostrava,retail,2014-08-26
2026-01-31,C00117,Hana,Dvořáková,1980-01-12,hana.dvorakova@centrum.cz,443757584,Zlín,Retail,2015-01-17
2026-01-31,C00118,Kateřina,Benešová,1985-12-18,katerina.benesova@gmail.com,415747338,Ostrava,retail,2010-12-11
2026-01-31,C00119,František,Marek,1976-06-19,frantisek.marek@email.cz,+420330165712,Plzeň,Retail,2021-11-29
2026-01-31,C00120,Filip,Veselý,1997-11-01,filip.vesely@email.cz,540-193-802,Kladno,Retail,2016-06-11
2026-01-31,C00121,Jana,Benešová,1990-08-13,jana.benesova@email.cz,004-991-547,Pardubice,retail,2016-06-29
2026-01-31,C00122,Lucie,Černá,1972-04-19,lucie.cerna@gmail.com,742-054-932,Brno,RETAIL,2013-08-24
2026-01-31,C00123,Ondřej,Svoboda,1971-07-30,ondrej.svoboda@gmail.com,+420304637454,Ostrava,RETAIL,2017-04-04
2026-01-31,C00124,Jana,Pokorná,1965-08-09,jana.pokorna@centrum.cz,+420 684 145 933,Pardubice,RETAIL,2013-08-01
2026-01-31,C00125,Tereza,Procházková,1992-04-22,,+420339187851,Zlín,retail,2022-01-21
2026-01-31,C00126,Veronika,Dvořáková,2003-02-23,veronika.dvorakova@centrum.cz,+420871397187,Ostrava,retail,2017-05-11
2026-01-31,C00127,Jan,Horák,1996-06-25,jan.horak@seznam.cz,+420640391065,Kladno,RETAIL,2010-06-28
2026-01-31,C00128,Marie,Veselá,1957-11-05,marie.vesela@gmail.com,+420 265 676 618,Liberec,retail,2014-01-14
2026-01-31,C00129,Zdeněk,Kučera,2002-06-12,zdenek.kucera@email.cz,+420 004 786 863,Ostrava,premium,2014-12-30
2026-01-31,C00130,Filip,Marek,1965-02-14,filip.marek@seznam.cz,+420903311907,Praha,premium,2019-05-28
2026-01-31,C00131,Jiří,Horák,1974-06-29,jiri.horak@email.cz,+420 439 599 534,Praha,retail,2021-04-20
2026-01-31,C00132,Martin,Novák,2004-12-11,martin.novak@centrum.cz,687-056-856,České Budějovice,Premium,2013-12-05
2026-01-31,C00133,Zdeněk,Veselý,1976-08-14,zdenek.vesely@gmail.com,+420 708 668 826,Plzeň,Retail,2013-03-28
2026-01-31,C00134,Iveta,Veselá,1988-04-16,iveta.vesela@gmail.com,+420 046 990 139,Brno,RETAIL,2014-04-10
2026-01-31,C00135,Filip,Novák,1974-01-01,filip.novak@gmail.com,739-363-854,Plzeň,Premium,2012-08-19
2026-01-31,C00136,Pavel,Horák,1999-08-12,pavel.horak@centrum.cz,+420535560932,Pardubice,Retail,2020-07-13
2026-01-31,C00137,Jiří,Procházka,1975-08-21,jiri.prochazka@centrum.cz,+420 785 477 725,Hradec Králové,premium,2015-07-07
2026-01-31,C00138,Filip,Horák,1960-04-08,filip.horak@centrum.cz,006-231-203,Zlín,Retail,2011-09-01
2026-01-31,C00139,Jana,Nováková,2002-09-30,jana.novakova@email.cz,+420084840862,Zlín,retail,2010-04-08
2026-01-31,C00140,František,Horák,1977-08-24,frantisek.horak@centrum.cz,+420156793341,Olomouc,Retail,2018-11-26
2026-01-31,C00141,Václav,Novák,1955-11-06,vaclav.novak@seznam.cz,659-180-339,Ostrava,RETAIL,2021-03-18
2026-01-31,C00142,Lenka,Horáková,1957-12-14,lenka.horakova@gmail.com,392-614-293,Ostrava,retail,2010-05-09
2026-01-31,C00143,Lukáš,Novotný,1962-01-13,lukas.novotny@gmail.com,016-315-999,Zlín,Private,2017-10-04
2026-01-31,C00144,Martin,Sedláček,1995-06-03,martin.sedlacek@seznam.cz,+420 866 296 194,Pardubice,retail,2017-12-24
2026-01-31,C00145,Miroslav,Marek,1968-11-03,miroslav.marek@centrum.cz,+420110475412,Hradec Králové,RETAIL,2018-02-02
2026-01-31,C00146,Veronika,Kučerová,1964-04-07,veronika.kucerova@email.cz,819-956-046,Praha,RETAIL,2017-12-09
2026-01-31,C00147,Eva,Pokorná,1989-02-26,eva.pokorna@seznam.cz,447212646,Ostrava,retail,2016-01-12
2026-01-31,C00148,Jiří,Marek,1999-06-25,jiri.marek@centrum.cz,712406596,České Budějovice,Premium,2014-05-21
2026-01-31,C00149,Alena,Pokorná,1967-03-19,alena.pokorna@gmail.com,+420 375 265 479,Liberec,RETAIL,2023-07-13
2026-01-31,C00150,Kateřina,Procházková,1965-03-20,katerina.prochazkova@email.cz,828-073-741,České Budějovice,Retail,2023-04-14
2026-01-31,C00151,Jan,Veselý,1993-08-20,jan.vesely@gmail.com,661-797-968,Ostrava,premium,2018-10-28
2026-01-31,C00152,Iveta,Černá,1969-10-05,iveta.cerna@gmail.com,911-352-909,Liberec,premium,2017-06-14
2026-01-31,C00153,Michaela,Marková,2003-06-19,michaela.markova@centrum.cz,+420 014 388 899,Hradec Králové,RETAIL,2013-09-11
2026-02-28,C00001,Jana,Marková,1979-09-04,jana.markova@seznam.cz,+420 181 960 013,Plzeň,Retail,2013-02-17
2026-02-28,C00002,Michaela,Pokorná,2003-11-21,michaela.pokorna@centrum.cz,940265423,Hradec Králové,RETAIL,2020-01-28
2026-02-28,C00003,David,Procházka,1978-09-24,david.prochazka@seznam.cz,+420 816 184 959,Praha,premium,2020-04-21
2026-02-28,C00004,Barbora,Černá,1962-02-27,barbora.cerna@email.cz,+420 475 255 341,Plzeň,RETAIL,2018-07-11
2026-02-28,C00005,Miroslav,Černý,2004-12-19,miroslav.cerny@centrum.cz,030564139,Plzeň,Premium,2017-04-10
2026-02-28,C00006,Filip,Pokorný,1996-03-01,filip.pokorny@email.cz,+420 388 496 965,Ostrava,retail,2013-02-17
2026-02-28,C00007,Marie,Sedláčková,1959-03-24,marie.sedlackova@seznam.cz,+420691669784,Brno,Premium,2013-08-03
2026-02-28,C00008,Veronika,Sedláčková,1978-12-09,veronika.sedlackova@gmail.com,+420462704828,Kladno,retail,2012-07-02
2026-02-28,C00009,Veronika,Němcová,1972-11-04,veronika.nemcova@email.cz,880957015,Ostrava,Retail,2013-08-16
2026-02-28,C00010,Marie,Svobodová,1998-08-07,marie.svobodova@email.cz,+420 227 824 896,Brno,private,2021-12-12
2026-02-28,C00011,Kateřina,Pokorná,1988-07-02,,+420 133 150 983,Pardubice,retail,2020-02-16
2026-02-28,C00012,Jana,Dvořáková,1961-01-17,jana.dvorakova@centrum.cz,834-738-299,Praha,retail,2011-08-04
2026-02-28,C00013,Hana,Svobodová,1963-09-12,hana.svobodova@centrum.cz,+420 667 010 651,Kladno,Retail,2017-12-12
2026-02-28,C00014,Tomáš,Černý,1996-07-03,tomas.cerny@centrum.cz,810-801-326,Plzeň,retail,2019-12-10
2026-02-28,C00015,Eva,Kučerová,1955-03-12,eva.kucerova@seznam.cz,+420468723430,Hradec Králové,Retail,2020-03-16
2026-02-28,C00016,Václav,Horák,2002-08-25,vaclav.horak@seznam.cz,+420 121 913 619,Ostrava,Retail,2021-05-23
2026-02-28,C00017,Kateřina,Pokorná,2001-11-25,katerina.pokorna@seznam.cz,+420534624751,Olomouc,Retail,2014-08-01
2026-02-28,C00018,Jiří,Horák,1978-10-17,jiri.horak@gmail.com,+420354278498,Ostrava,RETAIL,2011-07-18
2026-02-28,C00019,Marie,Novotná,1978-09-23,marie.novotna@seznam.cz,244-935-348,Brno,RETAIL,2022-05-30
2026-02-28,C00020,Miroslav,Beneš,1979-10-28,miroslav.benes@email.cz,+420242786801,Praha,RETAIL,2017-06-25
2026-02-28,C00021,Alena,Procházková,2004-07-27,alena.prochazkova@email.cz,045-053-315,Ostrava,retail,2012-11-10
2026-02-28,C00022,Hana,Benešová,1969-07-30,hana.benesova@centrum.cz,292330958,Ostrava,RETAIL,2010-07-23
2026-02-28,C00023,David,Sedláček,1975-06-02,david.sedlacek@seznam.cz,654145868,Plzeň,RETAIL,2014-05-02
2026-02-28,C00024,Lenka,Novotná,1978-10-25,lenka.novotna@centrum.cz,+420 655 698 169,Praha,Retail,2023-05-20
2026-02-28,C00025,Filip,Sedláček,2003-04-22,filip.sedlacek@gmail.com,561595148,Kladno,premium,2014-06-03
2026-02-28,C00026,Martin,Horák,1966-06-02,martin.horak@gmail.com,+420 299 468 044,Plzeň,RETAIL,2018-07-03
2026-02-28,C00027,Václav,Pokorný,1974-03-04,vaclav.pokorny@gmail.com,+420 148 951 343,Zlín,RETAIL,2013-10-22
2026-02-28,C00028,Václav,Němec,1961-07-14,vaclav.nemec@centrum.cz,+420 367 632 016,Pardubice,RETAIL,2022-11-29
2026-02-28,C00029,Jiří,Beneš,1965-11-20,jiri.benes@centrum.cz,889-579-868,Pardubice,Retail,2020-06-03
2026-02-28,C00030,Jakub,Dvořák,1979-11-17,jakub.dvorak@email.cz,+420471434558,Hradec Králové,Retail,2015-05-14
2026-02-28,C00031,Tomáš,Marek,1974-03-12,tomas.marek@centrum.cz,+420587603669,Brno,retail,2019-02-22
2026-02-28,C00032,Pavel,Černý,1989-12-27,pavel.cerny@centrum.cz,937346706,Hradec Králové,RETAIL,2022-04-01
2026-02-28,C00033,Alena,Veselá,1966-06-14,alena.vesela@gmail.com,+420699016272,České Budějovice,Retail,2010-08-09
2026-02-28,C00034,Pavel,Procházka,1989-01-05,pavel.prochazka@email.cz,+420417080531,Liberec,Private,2019-06-16
2026-02-28,C00035,Jan,Němec,1968-09-02,jan.nemec@email.cz,+420193745299,Plzeň,Retail,2020-08-15
2026-02-28,C00036,Marie,Němcová,1957-04-21,marie.nemcova@centrum.cz,+420631931491,Liberec,Premium,2018-06-02
2026-02-28,C00037,Marie,Horáková,1985-08-12,marie.horakova@gmail.com,165-726-284,Praha,RETAIL,2020-12-29
2026-02-28,C00038,Jiří,Beneš,1962-10-10,jiri.benes@gmail.com,799-650-752,Liberec,retail,2015-06-21
2026-02-28,C00039,Filip,Němec,1979-10-14,filip.nemec@seznam.cz,313-678-377,Hradec Králové,retail,2021-08-03
2026-02-28,C00040,Miroslav,Marek,1976-10-29,miroslav.marek@gmail.com,578-856-855,Liberec,Premium,2023-01-17
2026-02-28,C00041,Lukáš,Dvořák,1983-04-23,lukas.dvorak@gmail.com,+420233749894,Brno,private,2022-01-07
2026-02-28,C00042,Tomáš,Černý,1956-04-08,tomas.cerny@centrum.cz,008427109,Zlín,RETAIL,2016-02-26
2026-02-28,C00043,Jan,Černý,1997-11-10,jan.cerny@centrum.cz,+420 719 022 941,Brno,retail,2018-12-27
2026-02-28,C00044,Barbora,Němcová,1975-04-01,barbora.nemcova@email.cz,+420749649909,Zlín,retail,2020-02-08
2026-02-28,C00045,Lenka,Pokorná,1962-04-14,lenka.pokorna@gmail.com,+420812067974,Ostrava,retail,2013-11-24
2026-02-28,C00046,Lucie,Svobodová,1975-12-10,lucie.svobodova@gmail.com,+420361832421,Liberec,Premium,2023-03-25
2026-02-28,C00047,Alena,Němcová,1980-11-22,alena.nemcova@gmail.com,+420464887719,Pardubice,RETAIL,2020-07-06
2026-02-28,C00048,Jana,Svobodová,1975-07-16,jana.svobodova@centrum.cz,+420 049 027 874,Kladno,Premium,2023-03-03
2026-02-28,C00049,Lucie,Svobodová,1997-03-02,lucie.svobodova@gmail.com,+420512567468,Olomouc,retail,2017-06-23
2026-02-28,C00050,Petr,Sedláček,1991-04-06,petr.sedlacek@email.cz,+420760385977,Zlín,RETAIL,2022-03-03
2026-02-28,C00051,Lucie,Marková,1998-06-27,lucie.markova@seznam.cz,+420324808613,Brno,RETAIL,2023-08-28
2026-02-28,C00052,Eva,Veselá,1981-03-08,eva.vesela@gmail.com,+420 677 378 263,Zlín,premium,2016-02-18
2026-02-28,C00053,Alena,Kučerová,1985-06-29,alena.kucerova@centrum.cz,449972787,Zlín,RETAIL,2010-01-22
2026-02-28,C00054,Pavel,Beneš,1971-12-04,pavel.benes@gmail.com,+420360576627,Plzeň,premium,2018-08-04
2026-02-28,C00055,Alena,Benešová,1994-07-02,alena.benesova@gmail.com,026-217-459,Brno,retail,2020-04-01
2026-02-28,C00056,Alena,Horáková,1989-02-03,alena.horakova@seznam.cz,+420809134316,Olomouc,premium,2020-12-11
2026-02-28,C00057,Lukáš,Černý,1957-08-06,lukas.cerny@seznam.cz,+420 455 623 869,Praha,retail,2011-04-05
2026-02-28,C00058,Kateřina,Němcová,1976-08-09,,+420 374 740 748,Pardubice,Premium,2013-03-18
2026-02-28,C00059,Tereza,Černá,1993-01-24,tereza.cerna@gmail.com,367136959,Liberec,RETAIL,2016-10-10
2026-02-28,C00060,David,Pokorný,1990-07-05,david.pokorny@email.cz,097439533,Liberec,Retail,2022-09-11
2026-02-28,C00061,Iveta,Pokorná,1958-07-15,iveta.pokorna@gmail.com,+420 952 145 623,Liberec,RETAIL,2010-10-01
2026-02-28,C00062,Iveta,Černá,1969-10-05,iveta.cerna@seznam.cz,+420517123685,Liberec,retail,2016-08-14
2026-02-28,C00063,Petr,Veselý,1988-01-25,petr.vesely@email.cz,965137098,Kladno,private,2015-11-18
